"Country","Year","pipeline_MCM","LNG_MCM","Total_MCM"
"Germany","2022-08",952.901,0,952.901
"Germany","2022-09",0,0,0
"Germany","2022-10",0.07,0,0.07
"Germany","2022-11",0,0,0
"Germany","2022-12",0,0,0
"Germany","2023-01",0,0,0
"Germany","2023-02",0,0,0
"Germany","2023-03",0,0,0
"Germany","2023-04",0,0,0
"Germany","2023-05",0,0,0
"Germany","2023-06",0,0,0
"Germany","2023-07",0,0,0
"Germany","2023-08",0,0,0
"Germany","2023-09",0,0,0
"Germany","2023-10",0,0,0
"Germany","2023-11",0,0,0
"Germany","2023-12",0,0,0
"Germany","2024-01",0,0,0
"Germany","2024-02",0,0,0
"Germany","2024-03",0,0,0
"Germany","2024-04",0,0,0
"Germany","2024-05",0,0,0
"Germany","2024-06",0,0,0
"Germany","2024-07",0,0,0
"Germany","2024-08",0,0,0
"Germany","2024-09",0,0,0
"Germany","2024-10",0,0,0
"Germany","2024-11",0,0,0
"Germany","2024-12",0,0,0
"Germany","2025-01",0,0,0
"Germany","2025-02",0,0,0
"Germany","2025-03",0,0,0
"Germany","2025-04",0,0,0
"Germany","2025-05",0,0,0
"Germany","2025-06",0,0,0
"Germany","2025-07",0,0,0
"Germany","2025-08",0,0,0
"Denmark","2019-01",0,0,0
"Denmark","2019-02",0,0,0
"Denmark","2019-03",0,0,0
"Denmark","2019-04",0,0,0
"Denmark","2019-05",0,0,0
"Denmark","2019-06",0,0,0
"Denmark","2019-07",0,0,0
"Denmark","2019-08",0,0,0
"Denmark","2019-09",0,0,0
"Denmark","2019-10",0,0,0
"Denmark","2019-11",0,0,0
"Denmark","2019-12",0,0,0
"Denmark","2020-01",0,0,0
"Denmark","2020-02",0,0,0
"Denmark","2020-03",0,0,0
"Denmark","2020-04",0,0,0
"Denmark","2020-05",0,0,0
"Denmark","2020-06",0,0,0
"Denmark","2020-07",0,0,0
"Denmark","2020-08",0,0,0
"Denmark","2020-09",0,0,0
"Denmark","2020-10",0,0,0
"Denmark","2020-11",0,0,0
"Denmark","2020-12",0,0,0
"Denmark","2021-01",0,0,0
"Denmark","2021-02",0,0,0
"Denmark","2021-03",0,0,0
"Denmark","2021-04",0,0,0
"Denmark","2021-05",0,0,0
"Denmark","2021-06",0,0,0
"Denmark","2021-07",0,0,0
"Denmark","2021-08",0,0,0
"Denmark","2021-09",0,0,0
"Denmark","2021-10",0,0,0
"Denmark","2021-11",0,0,0
"Denmark","2021-12",0,0,0
"Denmark","2022-01",0,0,0
"Denmark","2022-02",0,0,0
"Denmark","2022-03",0,0,0
"Denmark","2022-04",0,0,0
"Denmark","2022-05",0,0,0
"Denmark","2022-06",0,0,0
"Denmark","2022-07",0,0,0
"Denmark","2022-08",0,0,0
"Denmark","2022-09",0,0,0
"Denmark","2022-10",0,0,0
"Denmark","2022-11",0,0,0
"Denmark","2022-12",0,0,0
"Denmark","2023-01",0,0,0
"Denmark","2023-02",0,0,0
"Denmark","2023-03",0,0,0
"Denmark","2023-04",0,0,0
"Denmark","2023-05",0,0,0
